C1V2,1006,1,2033426191
C1V2,1006,2,192907687
C1V2,1006,3,2041392555
C1V2,1006,4,2036725319
C1V2,1006,5,1449581687
C1V2,1018,1,343908865
C1V2,1018,2,18770363
C1V2,1018,3,1174554031
C1V2,1018,4,214801515
C1V2,1018,5,379945895
C1V2,CS2,1,879554979
C1V2,CS2,2,1483083687
C1V2,CS2,3,1980226385
C1V2,CS2,4,1889788163
C1V2,CS2,5,270295681
C1V2,PIC55751,1,272374915
C1V2,PIC55751,2,2145034621
C1V2,PIC55751,3,1840259349
C1V2,PIC55751,4,767501447
C1V2,PIC55751,5,1730997331
nef,1006,1,2118187705
nef,1006,2,599497081
nef,1006,3,1549168567
nef,1006,4,938205209
nef,1006,5,207834777
nef,1018,1,30250119
nef,1018,2,1916064275
nef,1018,3,1409819181
nef,1018,4,406897019
nef,1018,5,1798153835
nef,CS2,1,438195915
nef,CS2,2,1238586145
nef,CS2,3,1242458963
nef,CS2,4,1442510605
nef,CS2,5,887418145
nef,PIC55751,1,232176123
nef,PIC55751,2,1943229311
nef,PIC55751,3,2104669441
nef,PIC55751,4,1265847699
nef,PIC55751,5,503894609
p17,1006,1,974704159
p17,1006,2,367786659
p17,1006,3,5223579
p17,1006,4,1182673237
p17,1006,5,1137967867
p17,1018,1,491783975
p17,1018,2,788290897
p17,1018,3,1446048439
p17,1018,4,1931911431
p17,1018,5,75895083
p17,CS2,1,1916236213
p17,CS2,2,970141397
p17,CS2,3,1615807555
p17,CS2,4,1244846979
p17,CS2,5,1735008893
p17,PIC55751,1,768815903
p17,PIC55751,2,1423195043
p17,PIC55751,3,95642431
p17,PIC55751,4,1969211499
p17,PIC55751,5,417047013
tat,1006,1,311425341
tat,1006,2,781620511
tat,1006,3,1274508907
tat,1006,4,954343151
tat,1006,5,205641499
tat,1018,1,67780783
tat,1018,2,1705524299
tat,1018,3,1014280481
tat,1018,4,215981429
tat,1018,5,1939300885
tat,CS2,1,1389111205
tat,CS2,2,1522783511
tat,CS2,3,245326803
tat,CS2,4,559695743
tat,CS2,5,813835989
tat,PIC55751,1,801734199
tat,PIC55751,2,1304693251
tat,PIC55751,3,2138831627
tat,PIC55751,4,1328622359
tat,PIC55751,5,1406944149
