2.5,1,1622579455
2.5,2,1622579506
2.5,3,1622579518
2.5,4,1622579523
2.5,5,1622579548
2.5,6,1622579555
2.5,7,1622579559
2.5,8,1622579564
2.5,9,1622579575
2.5,10,1622579586
5,1,1622579825
5,2,1622579831
5,3,1622579836
5,4,1622579842
5,5,1622579846
5,6,1622579849
5,7,1622579853
5,8,1622579857
5,9,1622579861
5,10,1622579865
10,1,1622579699
10,2,1622579729
10,3,1622579736
10,4,1622579744
10,5,1622579749
10,6,1622579754
10,7,1622579757
10,8,1622579761
10,9,1622579768
10,10,1622579775
20,1,1622579935
20,2,1622579940
20,3,1622579944
20,4,1622579948
20,5,1622579955
20,6,1622579959
20,7,1622579964
20,8,1622579968
20,9,1622579972
20,10,1622579976
30,1,1622580508
30,2,1622580514
30,3,1622580520
30,4,1622580523
30,5,1622580528
30,6,1622580531
30,7,1622580534
30,8,1622580538
30,9,1622580541
30,10,1622580545
40,1,1622592569
40,2,1622592581
40,3,1622585506
40,4,1622585512
40,5,1622592478
40,6,1622592483
40,7,1622592490
40,8,1622592496
40,9,1622592740
40,10,1622592747
50,1,1622639875
50,2,1622644251
50,3,1622644257
50,4,1622644277
50,5,1622644283
50,6,1622644287
50,7,1622644291
50,8,1622644294
50,9,1622644297
50,10,1622644303
60,1,1622636142
60,2,1622636151
60,3,1622636158
60,4,1622636161
60,5,1622636165
60,6,1622636169
60,7,1622636173
60,8,1622636178
60,9,1622636182
60,10,1622636187
70,1,1622647382
70,2,1622647389
70,3,1622650135
70,4,1622651445
70,5,1622651450
70,6,1622651473
70,7,1622652004
70,8,1622652008
70,9,1622652012
70,10,1622652016
80,1,1622657622
80,2,1622657628
80,3,1622662305
80,4,1622662310
80,5,1622662314
80,6,1622662317
80,7,1622662320
80,8,1622662323
80,9,1622662328
80,10,1622662332
90,1,1622686246
90,2,1622686252
90,3,1622686255
90,4,1622686259
90,5,1622686262
90,6,1622686266
90,7,1622686270
90,8,1622686274
90,9,1622686279
90,10,1622686283
100,1,1622599640
100,2,1622599650
100,3,1622599655
100,4,1622599658
100,5,1622599663
100,6,1622599666
100,7,1622599670
100,8,1622599676
100,9,1622599679
100,10,1622599683
